EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,EncodingBlock2.thisRepN,EncodingBlock2.thisTrialN,EncodingBlock2.thisN,EncodingBlock2.thisIndex,Instructions.started,Instructions.stopped,fixation.started,fixation.stopped,trialOrder,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,encodingTrials,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,retType,retIMG,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,BlockBreak.started,BlockBreak.stopped,text_4.started,text_4.stopped,start2.keys,start2.rt,start2.started,start2.stopped,Trial_Order,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,78.16971079999348,None,94.73082900000736,None,LMR,images/OBJ_49.png,images/OBJ_109.png,images/OBJ_194.png,96.59550039999885,98.10293009999441,98.58612089999951,100.08524469999247,100.58511240000371,None,96.60327016999362,None,98.58562298999168,None,100.58507889001048,None,102.08466880000196,None,diff,LRM,1,103.71508259998518,105.21707919999608,105.71691759998794,107.21697939999285,107.71630390000064,None,103.71786391000497,None,105.71685688999132,None,107.7168245900073,None,109.21643329999642,None,1,['rightCL'],110.21564049998415,None,110.21564049998415,None,110.21564049998415,None,110.21564049998415,None,110.21564049998415,None,0.11328125,-0.33203125,1,0,0,0.9129362000094261,rightCL,0.012741389975417405,None,111.1320223900082,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS_1001,2023-09-14_14h03.42.365,exp,2021.1.4,60.223259661068155,
1,0,1,0,,,,,,,,,,,111.86567050000303,None,LMR,images/OBJ_64.png,images/OBJ_26.png,images/OBJ_35.png,113.63019259998691,115.13086959999055,115.63073330000043,117.13064270000905,117.6306404999923,None,113.63121422999538,None,115.63119699000963,None,117.63013598999241,None,119.12967870000284,None,same,LRM,2,120.66681059999974,122.17926519998582,122.66217150000739,124.16202489999705,124.66144349999377,None,120.66254876999882,None,122.66242498998763,None,124.66191208998207,None,126.16151189999073,None,1,['leftCL'],127.16117800000939,None,127.16117800000939,None,127.16117800000939,None,127.16117800000939,None,127.16117800000939,None,-0.1748046875,-0.353515625,1,0,0,1.882332499983022,leftCL,0.016327089979313314,None,129.04347678999767,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS_1001,2023-09-14_14h03.42.365,exp,2021.1.4,60.223259661068155,
2,0,2,0,,,,,,,,,,,129.76859100000001,None,LMR,images/OBJ_17.png,images/OBJ_39.png,images/OBJ_177.png,131.55035479998332,133.0589481999923,133.5421617999964,135.04171620000852,135.54158409999218,None,131.5593199199997,None,133.5425214899995,None,135.54203108999064,None,137.04163490000064,None,same,LRM,3,138.5851439999824,140.0902170999907,140.57344420001027,142.07344509998802,142.57290100000682,None,138.59102305998678,None,140.57392728999258,None,142.57287908998552,None,144.07244280001032,None,1,['leftCL'],145.07219199999236,None,145.07219199999236,None,145.07219199999236,None,145.07219199999236,None,145.07219199999236,None,-0.1708984375,-0.3544921875,1,0,0,1.3168265000276733,leftCL,0.01634978997753933,None,146.38890398999212,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS_1001,2023-09-14_14h03.42.365,exp,2021.1.4,60.223259661068155,
3,0,3,0,,,,,,,,,,,147.1246312999865,None,RLM,images/OBJ_115.png,images/OBJ_50.png,images/OBJ_125.png,148.9068869999901,150.42055670000263,150.90373540000292,152.4033378000022,152.90316089999396,None,148.90477682998755,None,150.90373159000302,None,152.90314548999305,None,154.4027136999939,None,same,LRM,4,155.943246299983,157.45183479998377,157.9350666999817,159.43460449998383,159.9344645999954,None,155.95263525999619,None,157.93505558998442,None,159.93443818999805,None,161.43403430000762,None,1,['leftCL'],162.43428129999666,None,162.43428129999666,None,162.43428129999666,None,162.43428129999666,None,162.43428129999666,None,-0.1689453125,-0.3544921875,1,0,0,0.6332258000038564,leftCL,0.016370389988878742,None,163.06694999000757,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS_1001,2023-09-14_14h03.42.365,exp,2021.1.4,60.223259661068155,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.0488328900072,None,old,images/OBJ_17.png,163.8417986999848,None,163.8504002199974,None,165.349616099993,None,1,166.34932770000887,None,167.33236209998722,None,167.33236209998722,None,167.33236209998722,None,167.33236209998722,None,167.33236209998722,None,167.33236209998722,None,-0.03515625,-0.0546875,1,0,0,second_middle,0.9994489899836481,None,,,,,,,,,,BS_1001,2023-09-14_14h03.42.365,exp,2021.1.4,60.223259661068155,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.69745128998767,None,old,images/OBJ_26.png,168.8070946999942,None,168.8155438300106,None,170.3148121999984,None,2,171.31481519999215,None,172.2808848999848,None,172.2808848999848,None,172.2808848999848,None,172.2808848999848,None,172.2808848999848,None,172.2808848999848,None,-0.0439453125,0.046875,1,0,0,first_left,0.9991484899946954,None,,,,,,,,,,BS_1001,2023-09-14_14h03.42.365,exp,2021.1.4,60.223259661068155,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.5132496899867,None,old,images/OBJ_115.png,173.465011399996,None,173.4638413299923,None,174.98011309999856,None,3,175.98030769999605,None,176.9462385000079,None,176.9462385000079,None,176.9462385000079,None,176.9462385000079,None,176.9462385000079,None,176.9462385000079,None,-0.029296875,0.0439453125,1,0,0,first_left,0.9992190900084097,None,,,,,,,,,,BS_1001,2023-09-14_14h03.42.365,exp,2021.1.4,60.223259661068155,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.01928449998377,None,None,None,space,103.49588699999731,None,None,,BS_1001,2023-09-14_14h03.42.365,exp,2021.1.4,60.223259661068155,
,,,,,,,,0,0,0,0,,,181.67780929998844,None,,images/OBJ_149.png,images/OBJ_100.png,images/OBJ_99.png,183.230630999984,184.74442430000636,185.2271369000082,186.72667810000712,187.22656290000305,None,183.2277350599936,None,185.2271824900061,None,187.22699849000202,None,188.72613279998768,None,same,LRM,5,190.2740206999879,191.77567219999037,192.27552339999238,193.77512020000722,194.27502159998403,None,190.27560415999616,None,192.27556978999638,None,194.27500199000934,None,195.77407879999373,None,1,['leftCL'],196.77378889999818,None,196.77378889999818,None,196.77378889999818,None,196.77378889999818,None,196.77378889999818,None,-0.171875,-0.298828125,1,0,0,1.1163089999754447,leftCL,0.016263589990558103,None,197.89061998999097,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMR,BS_1001,2023-09-14_14h03.42.365,exp,2021.1.4,60.223259661068155,
,,,,,,,,1,0,1,0,,,198.62522319998243,None,,images/OBJ_94.png,images/OBJ_111.png,images/OBJ_10.png,200.1924134999863,201.70568959999946,202.18933389999438,203.6884272999887,204.18827009998495,None,200.18991646000651,None,202.1893452899938,None,204.18825668999926,None,205.68784209998557,None,diff,LRM,6,207.23475129998405,208.73733159998665,209.236851499998,210.73639109998476,211.2367474999919,None,207.237699359993,None,209.2371879899991,None,211.2367020899954,None,212.73582400000305,None,1,['rightCL'],213.7355086999887,None,213.7355086999887,None,213.7355086999887,None,213.7355086999887,None,213.7355086999887,None,0.1533203125,-0.291015625,1,0,0,0.5165397000091616,rightCL,0.016310789971612394,None,214.25207328998368,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RML,BS_1001,2023-09-14_14h03.42.365,exp,2021.1.4,60.223259661068155,
,,,,,,,,,,,,,,214.98739449999994,None,,images/OBJ_150.png,images/OBJ_28.png,images/OBJ_184.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMR,,,,,,
