EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,Instructions.started,Instructions.stopped,fixation.started,fixation.stopped,Trial_Order,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,encodingTrials,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,retType,retIMG,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,101.29671940000026,None,102.16392739999992,None,RML,images/OBJ_55.png,images/OBJ_70.png,images/OBJ_87.png,104.04931789999955,105.5538459999998,106.03707800000029,107.53663799999958,108.0369939000002,None,104.0543590000003,None,106.03705179999943,None,108.03698039999963,None,109.53605229999994,None,same,None,1,111.17202970000017,112.68515669999942,113.16837409999971,114.66788369999995,115.16777329999968,None,111.16882659999975,None,113.1687231,None,115.16774159999969,None,116.66735679999965,None,1,['leftCL'],117.66753590000008,None,117.66753590000008,None,117.66753590000008,None,117.66753590000008,None,117.66753590000008,None,-0.23828125,-0.330078125,1,0,0,0.9300321000000622,leftCL,0.013224299999819777,None,118.60009779999965,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA_5005,2023-07-18_14h51.20.530,exp,2021.1.4,60.030459455240404,
1,0,1,0,,,,,,,119.3385459000001,None,RML,images/OBJ_109.png,images/OBJ_94.png,images/OBJ_174.png,121.12223900000026,122.63228900000013,123.11551580000014,124.61546829999952,125.11484849999943,None,121.13302789999962,None,123.11592669999973,None,125.11536529999958,None,126.61442790000001,None,same,None,2,128.15850779999982,129.66350880000027,130.14671589999944,131.64675269999952,132.14618789999986,None,128.16385339999997,None,130.14671330000002,None,132.1461317999996,None,133.64568899999995,None,1,['leftCL'],134.64541670000017,None,134.64541670000017,None,134.64541670000017,None,134.64541670000017,None,134.64541670000017,None,-0.2421875,-0.33203125,1,0,0,1.5163613999993686,leftCL,0.016397399999732443,None,136.16165029999993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA_5005,2023-07-18_14h51.20.530,exp,2021.1.4,60.030459455240404,
2,0,2,0,,,,,,,136.8939008999996,None,LMR,images/OBJ_8.png,images/OBJ_79.png,images/OBJ_24.png,138.67080089999945,140.17712149999988,140.66047569999955,142.1599024999996,142.65973740000027,None,138.67757730000014,None,140.66037709999947,None,142.66021469999978,None,144.15930690000005,None,same,None,3,145.70195400000011,147.20838399999957,147.6915951000001,149.19114399999944,149.69102519999979,None,145.70875039999973,None,147.69159189999974,None,149.69095249999955,None,151.1906116,None,1,['leftCL'],152.19076339999992,None,152.19076339999992,None,152.19076339999992,None,152.19076339999992,None,152.19076339999992,None,-0.2421875,-0.33203125,1,0,0,1.1159098999996786,leftCL,0.01639309999973193,None,153.30665619999982,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA_5005,2023-07-18_14h51.20.530,exp,2021.1.4,60.030459455240404,
3,0,3,0,,,,,,,154.05623930000002,None,RLM,images/OBJ_20.png,images/OBJ_105.png,images/OBJ_141.png,155.82860809999966,157.33876400000008,157.82198590000007,159.32149750000008,159.82137129999956,None,155.83915309999995,None,157.8219678999998,None,159.8218076999996,None,161.32145799999944,None,same,None,4,162.86185980000027,164.37054949999947,164.85378709999986,166.35329459999957,166.85315209999953,None,162.87089199999954,None,164.8532279999994,None,166.85265500000006,None,168.3522112999999,None,1,['leftCL'],169.35192300000017,None,169.35192300000017,None,169.35192300000017,None,169.35192300000017,None,169.35192300000017,None,-0.2421875,-0.33203125,1,0,0,1.3163205999999263,leftCL,0.01638089999960357,None,170.66871419999953,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA_5005,2023-07-18_14h51.20.530,exp,2021.1.4,60.030459455240404,
4,0,4,0,,,,,,,171.4159810000001,None,RML,images/OBJ_186.png,images/OBJ_4.png,images/OBJ_96.png,173.18898919999992,174.7003708000002,175.18356739999945,176.68310719999954,177.18297900000016,None,173.20131869999952,None,175.1840785999997,None,177.18300089999994,None,178.6825600000002,None,same,None,5,180.22211400000015,181.73170990000017,182.21487109999998,183.7144003000003,184.21425069999987,None,180.2319500999998,None,182.21482940000024,None,184.21424040000002,None,185.7143318999997,None,1,['leftCL'],186.71402369999942,None,186.71402369999942,None,186.71402369999942,None,186.71402369999942,None,186.71402369999942,None,-0.2421875,-0.33203125,1,0,0,0.48378190000039467,leftCL,0.01639419999992242,None,187.19723430000013,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA_5005,2023-07-18_14h51.20.530,exp,2021.1.4,60.030459455240404,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.99586859999945,None,old,images/OBJ_20.png,187.97769760000028,None,187.97977039999952,None,189.4794154000001,None,1,190.4796395000003,None,191.46256689999973,None,191.46256689999973,None,191.46256689999973,None,191.46256689999973,None,191.46256689999973,None,191.46256689999973,None,-0.03125,0.041015625,1,0,0,first_left,1.0155539999996108,None,BA_5005,2023-07-18_14h51.20.530,exp,2021.1.4,60.030459455240404,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.62738779999964,None,old,images/OBJ_94.png,192.7518054000002,None,192.76175779999977,None,194.26133709999976,None,2,195.26102850000007,None,196.2274508999999,None,196.2274508999999,None,196.2274508999999,None,196.2274508999999,None,196.2274508999999,None,196.2274508999999,None,-0.03125,-0.1611328125,1,0,0,second_middle,0.999247099999593,None,BA_5005,2023-07-18_14h51.20.530,exp,2021.1.4,60.030459455240404,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.1593412999995,None,old,images/OBJ_24.png,197.39821239999947,None,197.39383269999945,None,198.90998799999943,None,3,199.90971350000018,None,200.8760446999995,None,200.8760446999995,None,200.8760446999995,None,200.8760446999995,None,200.8760446999995,None,200.8760446999995,None,-0.0048828125,-0.275390625,1,0,0,third_right,0.9991181999994296,None,BA_5005,2023-07-18_14h51.20.530,exp,2021.1.4,60.030459455240404,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.15792569999977,None,old,images/OBJ_4.png,201.90488629999982,None,201.90908079999954,None,203.4086881000003,None,4,204.4088896000003,None,205.3914404999996,None,205.3914404999996,None,205.3914404999996,None,205.3914404999996,None,205.3914404999996,None,205.3914404999996,None,0.0029296875,0.0625,1,0,0,first_left,1.0153972999987673,None,BA_5005,2023-07-18_14h51.20.530,exp,2021.1.4,60.030459455240404,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.05645249999944,None,old,images/OBJ_87.png,206.93390529999942,None,206.94097089999943,None,208.4405399999996,None,5,209.44025299999976,None,210.42378110000027,None,210.42378110000027,None,210.42378110000027,None,210.42378110000027,None,210.42378110000027,None,210.42378110000027,None,0.041015625,-0.1396484375,1,0,0,second_middle,0.9992707000001246,None,BA_5005,2023-07-18_14h51.20.530,exp,2021.1.4,60.030459455240404,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.67177909999955,None,old,images/OBJ_109.png,211.80019989999982,None,211.80622919999988,None,213.3059463999998,None,6,214.30551620000006,None,215.27193739999984,None,215.27193739999984,None,215.27193739999984,None,215.27193739999984,None,215.27193739999984,None,215.27193739999984,None,0.0146484375,-0.2587890625,1,0,0,third_right,0.9992464999995718,None,BA_5005,2023-07-18_14h51.20.530,exp,2021.1.4,60.030459455240404,
