EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,EncodingBlock2.thisRepN,EncodingBlock2.thisTrialN,EncodingBlock2.thisN,EncodingBlock2.thisIndex,RetrievalBlock2.thisRepN,RetrievalBlock2.thisTrialN,RetrievalBlock2.thisN,RetrievalBlock2.thisIndex,Instructions.started,Instructions.stopped,fixation.started,fixation.stopped,trialOrder,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,encodingTrials,BlockBreak.started,BlockBreak.stopped,text_4.started,text_4.stopped,start2.keys,start2.rt,start2.started,start2.stopped,retType,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,retrievalTrials,retIMG,Trial_Order,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,10.657887700013816,None,11.744182200171053,None,RML,images/OBJ_37.png,images/OBJ_44.png,images/OBJ_104.png,13.389236900024116,14.903618600219488,15.386704800184816,16.885880100075155,17.38575050001964,None,13.38737446013838,None,15.386790740396828,None,17.385768740065394,None,18.885305600240827,None,same,None,20.51563570043072,22.017744900193065,22.517614500131458,24.017152400221676,24.517077600117773,None,20.518098060414193,None,22.517594140116124,None,24.516982140112667,None,26.017114100046456,None,0,['leftCL'],27.016790100373328,None,27.016790100373328,None,27.016790100373328,None,27.016790100373328,None,27.016790100373328,None,-0.1416015625,-0.3271484375,1,0,0,0.7639008001424372,leftCL,0.013178339693695307,None,27.783239140268414,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfds,2023-11-27_12h28.22.464,exp,2021.1.4,59.894477928060006,
1,0,1,0,,,,,,,,,,,,,,,28.458461800124496,None,RML,images/OBJ_102.png,images/OBJ_174.png,images/OBJ_59.png,30.01062750024721,31.51494580041617,31.998209400102496,33.497714100405574,33.997586800251156,None,30.015428260341285,None,31.998148640245198,None,33.99757854044437,None,35.49720700038597,None,same,None,37.03579920018092,38.54626370035112,39.029434400144964,40.52900920016691,41.02889290032908,None,37.04662786042318,None,39.02984234001487,None,41.02932954030111,None,42.5289396001026,None,0,['leftCL'],43.52814650023356,None,43.52814650023356,None,43.52814650023356,None,43.52814650023356,None,43.52814650023356,None,-0.115234375,-0.33984375,1,0,0,0.7000538003630936,leftCL,0.01638934016227722,None,44.22802194030955,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfds,2023-11-27_12h28.22.464,exp,2021.1.4,59.894477928060006,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,44.73030190030113,None,None,None,space,35.787380599882454,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfds,2023-11-27_12h28.22.464,exp,2021.1.4,59.894477928060006,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.85990024041384,None,,,,,,,,,,old,46.45483940001577,None,46.460661160200836,None,47.960221300367266,None,1,48.95994790038094,None,49.92631940031424,None,49.92631940031424,None,49.92631940031424,None,49.92631940031424,None,49.92631940031424,None,49.92631940031424,None,0.0087890625,0.0439453125,1,0,0,first_left,0.9991076397709548,None,,,,dfds,2023-11-27_12h28.22.464,exp,2021.1.4,59.894477928060006,
,,,,,,,,0,0,0,0,,,,,51.371774200350046,None,52.91439270041883,None,,images/OBJ_39.png,images/OBJ_85.png,images/OBJ_80.png,54.47461640043184,55.975030900444835,56.47440670011565,57.974431400187314,58.4738806001842,None,54.47504736008123,None,56.47442534016445,None,58.4738430400379,None,59.973790700081736,None,same,None,61.51655030017719,63.02252040011808,63.505714000202715,65.0057467003353,65.5051431003958,None,61.52288766009733,None,63.505720540042965,None,65.50552034014837,None,67.00470780022442,None,0,['leftCL'],68.0044507002458,None,68.0044507002458,None,68.0044507002458,None,68.0044507002458,None,68.0044507002458,None,-0.1611328125,-0.271484375,1,0,0,0.46637719962745905,leftCL,0.016311039682477713,None,68.47100804010407,None,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,images/OBJ_44.png,MRL,dfds,2023-11-27_12h28.22.464,exp,2021.1.4,59.894477928060006,
,,,,,,,,1,0,1,0,,,,,,,69.15180750004947,None,,images/OBJ_21.png,images/OBJ_137.png,images/OBJ_199.png,70.70430840039626,72.21988390013576,72.70298130018637,74.2026162003167,74.70246510021389,None,70.70366646014155,None,72.70303364014254,None,74.70246654013172,None,76.20209290040657,None,same,None,77.74728910019621,79.2516547003761,79.73432970000431,81.23390730004758,81.73376000020653,None,77.75197456022725,None,79.7343860404566,None,81.73377114031464,None,83.23383000027388,None,0,['leftCL'],84.23307790001854,None,84.23307790001854,None,84.23307790001854,None,84.23307790001854,None,84.23307790001854,None,-0.2314453125,-0.3671875,1,0,0,0.4833124000579119,leftCL,0.01639513997361064,None,84.716768840421,None,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RLM,dfds,2023-11-27_12h28.22.464,exp,2021.1.4,59.894477928060006,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,85.22119120042771,None,None,None,space,76.84339410020038,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfds,2023-11-27_12h28.22.464,exp,2021.1.4,59.894477928060006,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.58093744013459,None,,,,,,,,,,old,87.66708560008556,None,87.66543352026493,None,89.18162750033662,None,1,90.1813510004431,None,91.1643857001327,None,91.1643857001327,None,91.1643857001327,None,91.1643857001327,None,91.1643857001327,None,91.1643857001327,None,-0.0029296875,-0.1044921875,1,0,0,second_middle,1.0152559401467443,None,,,,dfds,2023-11-27_12h28.22.464,exp,2021.1.4,59.894477928060006,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0634617401287,None,,,,,,,,,,old,92.2886977000162,None,92.29743656041101,None,93.79699660046026,None,2,94.79719320032746,None,95.7630603001453,None,95.7630603001453,None,95.7630603001453,None,95.7630603001453,None,95.7630603001453,None,95.7630603001453,None,-0.015625,0.0595703125,1,0,0,first_left,0.9992391401901841,None,,,,dfds,2023-11-27_12h28.22.464,exp,2021.1.4,59.894477928060006,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
